                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    122,                 1.9807,                 1.0343,                0.94893,                0.76029,                0.78245,                0.81617,                0.35914,                 1.8906,                0.88961,                0.98387,              0.0076042,              0.0076042,              0.0076042
                    123,                 1.8401,                 1.0365,                 1.0014,                0.68186,                0.73606,                 0.7491,                0.33897,                 1.8487,                0.93248,                0.98764,              0.0075844,              0.0075844,              0.0075844
                    124,                 1.8596,                 1.0341,                0.99833,                0.71665,                0.75219,                0.73689,                0.29377,                 2.0011,                0.93487,                 1.0007,              0.0075646,              0.0075646,              0.0075646
                    125,                 1.9884,                 1.0739,                0.97904,                0.78172,                 0.7906,                0.80835,                0.35395,                 1.8679,                0.91838,                0.98775,              0.0075448,              0.0075448,              0.0075448
                    126,                 1.7174,                0.99635,                0.96103,                0.78172,                 0.7906,                0.80835,                0.35395,                 1.8679,                0.91838,                0.98775,               0.007525,               0.007525,               0.007525
                    127,                 1.9871,                  1.102,                 1.0151,                0.68151,                0.75174,                0.72745,                0.24952,                 2.1604,                 1.0535,                 1.0331,              0.0075052,              0.0075052,              0.0075052
                    128,                 1.9333,                 1.0214,                0.99656,                0.78305,                0.75761,                0.81268,                0.35434,                 1.8803,                0.94411,                 1.0001,              0.0074854,              0.0074854,              0.0074854
                    129,                 1.9065,                  1.038,                0.95587,                0.70886,                0.82026,                 0.7526,                0.26432,                  2.077,                 1.0937,                 1.0122,              0.0074656,              0.0074656,              0.0074656
                    130,                 1.8974,                 1.1373,                0.97716,                0.70886,                0.82026,                 0.7526,                0.26432,                  2.077,                 1.0937,                 1.0122,              0.0074458,              0.0074458,              0.0074458
                    131,                 1.8654,                 1.0836,                0.98937,                0.94091,                0.79669,                0.83108,                0.34921,                 1.8645,                 1.0134,                0.99313,               0.007426,               0.007426,               0.007426
                    132,                 1.8775,                 1.0415,                0.97258,                0.95126,                0.77414,                0.82013,                0.34908,                 1.9652,                0.92533,                0.99688,              0.0074062,              0.0074062,              0.0074062
                    133,                 1.9086,                 1.0261,                0.95824,                0.96704,                0.78936,                0.82835,                0.34046,                 1.8582,                0.91508,                0.99018,              0.0073864,              0.0073864,              0.0073864
                    134,                 1.8056,                 1.0006,                0.96595,                0.96704,                0.78936,                0.82835,                0.34046,                 1.8582,                0.91508,                0.99018,              0.0073666,              0.0073666,              0.0073666
                    135,                 1.8992,                 1.0213,                0.96045,                0.96421,                0.79345,                0.82153,                0.34322,                 1.9025,                0.91508,                 1.0008,              0.0073468,              0.0073468,              0.0073468
                    136,                 1.9131,                 1.0376,                0.96793,                0.94932,                0.78933,                0.81926,                0.31285,                 1.9941,                0.94848,                 1.0064,               0.007327,               0.007327,               0.007327
                    137,                 1.8322,                 1.0336,                0.97187,                0.93499,                0.79052,                0.81676,                0.36782,                  1.853,                0.90076,                0.98852,              0.0073072,              0.0073072,              0.0073072
                    138,                 1.8287,                 1.0203,                0.96734,                0.93499,                0.79052,                0.81676,                0.36782,                  1.853,                0.90076,                0.98852,              0.0072874,              0.0072874,              0.0072874
                    139,                 1.9484,                 1.0545,                0.96868,                0.90612,                0.78133,                0.77208,                0.30702,                 1.9056,                0.96899,                0.99562,              0.0072676,              0.0072676,              0.0072676
                    140,                 1.8559,                  1.094,                0.99129,                0.76051,                0.80821,                 0.8173,                0.37223,                 1.8242,                0.88819,                0.97995,              0.0072478,              0.0072478,              0.0072478
                    141,                 1.8316,                 1.0624,                0.96371,                 0.6876,                0.78211,                0.75855,                 0.3071,                 2.0016,                0.96241,                 1.0127,               0.007228,               0.007228,               0.007228
                    142,                 1.9309,                 1.0385,                0.96239,                 0.6876,                0.78211,                0.75855,                 0.3071,                 2.0016,                0.96241,                 1.0127,              0.0072082,              0.0072082,              0.0072082
                    143,                 1.8477,                 1.0081,                  1.003,                0.78671,                0.81106,                0.81431,                 0.3659,                 1.8499,                0.87337,                0.98715,              0.0071884,              0.0071884,              0.0071884
                    144,                 1.8019,                 1.0012,                0.94199,                0.76127,                0.76384,                 0.7797,                0.33528,                 1.9476,                0.96443,                 1.0031,              0.0071686,              0.0071686,              0.0071686
                    145,                  1.857,                 1.0445,                0.95959,                0.78909,                0.79438,                0.81872,                0.36632,                 1.8858,                0.86416,                0.98239,              0.0071488,              0.0071488,              0.0071488
                    146,                 1.8954,                0.98245,                0.95359,                0.78909,                0.79438,                0.81872,                0.36632,                 1.8858,                0.86416,                0.98239,               0.007129,               0.007129,               0.007129
                    147,                 1.7941,                 1.0177,                0.95083,                0.76812,                 0.7579,                0.79265,                0.33759,                 1.8649,                0.95445,                0.98936,              0.0071092,              0.0071092,              0.0071092
                    148,                 1.8388,                0.99859,                0.92105,                0.68308,                0.75325,                0.75578,                0.32875,                 1.9699,                0.95396,                 0.9937,              0.0070894,              0.0070894,              0.0070894
                    149,                  1.916,                 1.0539,                0.97327,                0.77664,                 0.8044,                0.81614,                0.33519,                 1.8598,                0.89182,                0.97932,              0.0070696,              0.0070696,              0.0070696
